Rank,Landing Page,Sessions,Sessions %,Active Users,New Users,Avg Engagement,Key Events
1,/,6368,11.01%,5701,5465,50s,116
2,(not set),5702,9.86%,3805,72,29s,7
3,/alfa-laval-centrifugal-separator,2893,5.00%,2659,2552,1m 06s,41
4,/waste-oil-centrifuge,1989,3.44%,1804,1749,1m 13s,27
5,/industrial-centrifuge,1892,3.27%,1621,1542,1m 07s,16
6,/wastewater-centrifuge,1821,3.15%,1606,1553,47s,10
7,/decanter-centrifuge,1722,2.98%,1454,1320,1m 13s,11
8,/decanter-centrifuge-differential-speed,1719,2.97%,1087,1015,1m 42s,273
9,/disc-stack-centrifuge,1642,2.84%,1234,1037,1m 11s,9
10,/alfa-laval-centrifuge,1585,2.74%,1492,1426,57s,19
11,/alfa-laval-centrifuge-parts,1503,2.60%,1398,1372,50s,56
12,/disc-centrifuge-parts-glossary,1073,1.85%,847,788,1m 13s,2
13,/diesel-centrifuge,1065,1.84%,946,917,1m 04s,6
14,/centrifugal-filter,1049,1.81%,885,869,1m 02s,2
15,/disc-centrifuge-purifier-clarifier-difference,988,1.71%,860,845,1m 15s,0
16,/oil-centrifuge,980,1.69%,869,833,1m 09s,4
17,/decanter-centrifuge-optimization,864,1.49%,566,496,1m 28s,2
18,/crude-oil-centrifuge,825,1.43%,737,711,56s,4
19,/lube-oil-centrifuge,769,1.33%,724,696,1m 21s,21
20,/disc-centrifuge-troubleshoot-bowl,740,1.28%,590,534,2m 00s,2
21,/difference-between-decanter-centrifuge-disc-centrifuge,657,1.14%,540,481,1m 36s,4
22,/dewatering-centrifuge,642,1.11%,613,603,39s,0
23,/decanter-centrifuge-pond-depth,626,1.08%,426,372,1m 43s,0
24,/decanter-centrifuge-vibration,583,1.01%,502,479,1m 14s,2
25,/machine-coolant-centrifuge,563,0.97%,517,493,1m 25s,12
26,/algae-centrifuge,544,0.94%,386,366,44s,2
27,/alfa-laval-centrifuges,542,0.94%,503,427,1m 28s,5
28,/centrifuge-rcf-rpm-difference-calculation,490,0.85%,431,422,50s,1
29,/fuel-oil-centrifuge,449,0.78%,391,374,1m 09s,4
30,/biodiesel-centrifuge,448,0.77%,351,334,54s,1
31,/disc-stack-centrifuge-faq,410,0.71%,317,241,1m 28s,3
32,/disc-centrifuge-backpressure,405,0.70%,320,293,1m 42s,2
33,/contact-for-alfa-laval-centrifuges,371,0.64%,321,198,1m 09s,37
34,/alfa-laval-centrifuge-selection-guide,302,0.52%,254,211,1m 25s,0
35,/disc-stack-centrifuge-liquid-seal-break,290,0.50%,178,155,1m 25s,0
36,/ethanol-extraction-centrifuges-technical-comparison,280,0.48%,188,175,57s,2
37,/wvo-centrifuge-separator,280,0.48%,250,237,58s,3
38,/disc-stack-centrifuge-troubleshooting-bowl-leaking,264,0.46%,225,197,2m 04s,0
39,/about-dolphin-centrifuge,257,0.44%,235,204,52s,2
40,/beer-wine-centrifuge,256,0.44%,213,197,44s,3
41,/disc-stack-centrifuge-applications,255,0.44%,228,206,45s,2
42,/disc-stack-centrifuge-options,251,0.43%,239,233,22s,1
43,/three-phase-decanter,250,0.43%,198,182,57s,2
44,/disc-stack-centrifuge-operating-water,246,0.43%,201,170,1m 25s,0
45,/smallest-industrial-centrifuges,238,0.41%,202,180,1m 02s,4
46,/hemp-extraction-centrifuge,237,0.41%,199,187,33s,0
47,/stainless-steel-centrifuge,230,0.40%,160,143,35s,2
48,/alfa-laval-nx-418-decanter-centrifuge,224,0.39%,179,170,1m 06s,1
49,/industrial-disc-centrifuge-repair,220,0.38%,138,126,1m 08s,5
50,/disc-stack-centrifuge-efficiency,217,0.38%,183,160,1m 24s,16
51,/disc-stack-centrifuge-sludge-ejection-cycle-time,217,0.38%,183,160,1m 24s,16
52,/black-diesel-centrifuge,208,0.36%,186,176,1m 25s,1
